CLF	DLS	ISIS	NAME	UNITS	UNITS_LONG_VERSION	SEARCHABLE	NUMERIC_VALUE	NON_NUMERIC_VALUE_FORMAT	IS_SAMPLE_PARAMETER	IS_DATASET_PARAMETER	IS_DATAFILE_PARAMETER	DESCRIPTION	VERIFIED	SEQ_NUMBER	MOD_ID	MOD_TIME	CREATE_TIME	CREATE_ID	FACILITY_ACQUIRED	DELETED
n	n	y	seter	C	C	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter	CELSIUS	CELSIUS	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter	CENTIGRA	CENTIGRA	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter	DEGC	DEGC	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter	K	K	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter	KELVI	KELVI	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter	KELVIN	KELVIN	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter1	CELSIUS	CELSIUS	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter1	CENTIGRA	CENTIGRA	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter1	DEGC	DEGC	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter1	DEGREES	DEGREES	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter1	KELVI	KELVI	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter1	KELVIN	KELVIN	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
